numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,strategy
1,3,5,1,1,4,1,2,4,0,3,2,1,4,3,1,1,1,1,5,15,15,6,CarefulAGENT
1,2,5,1,1,12,0,2,14,0,3,5,0,4,2,0,2,2,1,0,15,15,6,GreedyAGENT
0,2,5,1,2,12,2,3,2,2,4,14,2,1,6,2,3,3,1,3,14,0,15,CarefulAGENT
1,2,0,4,4,14,3,1,5,3,2,12,3,3,6,3,1,4,1,13,0,5,4,GreedyAGENT
3,0,1,2,4,14,1,1,12,1,2,5,2,3,13,1,1,5,1,13,0,0,4,CortaAGENT
3,0,0,2,4,11,1,1,6,1,2,13,0,3,15,1,4,6,1,11,0,0,4,CarefulAGENT
2,0,0,2,3,15,2,4,15,3,1,3,2,2,11,0,1,7,1,15,5,0,13,RandomAGENT
1,1,0,1,3,4,2,4,2,3,1,5,1,2,6,0,3,8,1,15,0,0,13,GreedyAGENT
1,0,0,1,1,15,0,2,4,3,3,11,2,4,3,0,1,9,1,0,0,13,0,CortaAGENT
0,0,1,0,1,13,3,2,3,3,3,13,2,4,11,3,1,10,1,0,0,0,0,CarefulAGENT
